model,prompt_type,parse_rate,emr,mae,severity_acc,acc_AV,acc_AC,acc_PR,acc_UI,acc_S,acc_C,acc_I,acc_A
gpt5,few_shot,100.0,39.0,1.025,59.8,90.8,95.0,70.5,91.5,89.2,83.2,83.8,86.2
gpt5,zero_shot,100.0,37.8,1.046,59.5,90.0,95.2,72.5,91.0,86.0,81.8,85.8,86.2
llama3.1,few_shot,100.0,30.8,1.552,46.2,83.0,93.2,67.0,84.2,90.5,64.0,64.8,66.8
llama3.1,zero_shot,100.0,26.8,2.341,36.5,77.2,92.8,58.5,86.5,86.2,63.7,55.8,55.0
mistral,few_shot,99.8,14.8,1.568,35.8,86.8,93.2,49.8,85.8,90.5,69.8,63.2,71.0
mistral,zero_shot,94.2,25.0,2.075,36.0,79.5,88.5,53.8,79.5,85.2,62.0,52.0,63.0
qwen2.5,few_shot,100.0,12.8,1.739,39.5,82.2,93.2,65.8,67.8,77.8,64.8,74.2,65.2
qwen2.5,zero_shot,100.0,29.8,1.67,47.5,80.0,91.2,62.5,85.0,90.5,63.2,71.8,60.0
